text,star,app_id,reviewDate
Anathi Khanyile,5,com.fingersoft.hillclimb,18-03-2021
Tony bahut funny hai Hill climbing racing my favourite game,5,com.fingersoft.hillclimb,18-03-2021
Teturwu,1,com.fingersoft.hillclimb,18-03-2021
Hoooooooooooyaaaaaaaaa what a game hooooooooooooyaaaaaaaa,5,com.fingersoft.hillclimb,18-03-2021
This game is nice,5,com.fingersoft.hillclimb,18-03-2021
Rahulyadavo,5,com.fingersoft.hillclimb,18-03-2021
"First thing is that I like this game, it's fantastic and amazing. Though I rate it 4 stars cuz it's right pedal stops working in the game and that's why I kept falling on the bridge.",4,com.fingersoft.hillclimb,18-03-2021
Very taty,3,com.fingersoft.hillclimb,18-03-2021
good,5,com.fingersoft.hillclimb,18-03-2021
I LIKE THIS GAME,5,com.fingersoft.hillclimb,18-03-2021
Racing,5,com.fingersoft.hillclimb,18-03-2021
😆😆😆,5,com.fingersoft.hillclimb,18-03-2021
Awesome game. easy to use options.,5,com.fingersoft.hillclimb,18-03-2021
Very noob game,1,com.fingersoft.hillclimb,18-03-2021
Hill climb racing 2 vip game,5,com.fingersoft.hillclimb,18-03-2021
Good games,4,com.fingersoft.hillclimb,18-03-2021
I is so oosem game,5,com.fingersoft.hillclimb,18-03-2021
Good game,3,com.fingersoft.hillclimb,18-03-2021
All right for the price you pay.,4,com.alibaba.aliexpresshd,18-03-2021
"I like the app, it works really well. It is a much better experience then the website.",5,com.alibaba.aliexpresshd,18-03-2021
Chicago,5,com.alibaba.aliexpresshd,18-03-2021
Please add dark amoled theme,4,com.alibaba.aliexpresshd,18-03-2021
Very easy to use and my delivery was quick and very well protected. Thank you! A+,5,com.alibaba.aliexpresshd,18-03-2021
Awesome,4,com.alibaba.aliexpresshd,18-03-2021
Excelent Best of all,5,com.alibaba.aliexpresshd,18-03-2021
I've been ordering here for years. Updated to say its still pretty good in 2021,5,com.alibaba.aliexpresshd,18-03-2021
Why is Alixpress customer service not Available. Like I don't understand please Please reply me,1,com.alibaba.aliexpresshd,18-03-2021
Very useful app 👌,5,com.alibaba.aliexpresshd,18-03-2021
Excellent products and speed of shipments.,5,com.alibaba.aliexpresshd,18-03-2021
"Fast, simple to use. Best shipping I know of. Everything you can imagine on electronics is there and there are quite a few amazing, unknown to the US items --- really worth it. This is the ONLY app from which in never mind getting ads! 😂",5,com.alibaba.aliexpresshd,18-03-2021
👍,5,com.alibaba.aliexpresshd,18-03-2021
Love the possibilities of the app. Working wel.,5,com.alibaba.aliexpresshd,18-03-2021
Great,4,com.alibaba.aliexpresshd,18-03-2021
I Love AliExpress and All Sellers in AliExpress No Scam Zone ★★★★★,5,com.alibaba.aliexpresshd,18-03-2021
I have ordered severally using the app and its very reliable shipping is fast anf what you order is what you get,5,com.alibaba.aliexpresshd,18-03-2021
The search engine needs work. Doesn't work as well as I'd like. A lot of useless items come up in a search that has none of the words I searched for in the title.,3,com.alibaba.aliexpresshd,18-03-2021
Great,5,com.alibaba.aliexpresshd,18-03-2021
Good but late,3,com.alibaba.aliexpresshd,18-03-2021
This app is great for finding stuff at somewhat reasonable prices. But just like wish they start to progressively stop sending your products within the scheduled time or don't send them at all. Once a dispute is brought up the seller's want to lie about ETAs. I done with this app. Since Covid-19 they have making any excuse to not send your items. Tracking numbers do not track the package. Genuinely done with this app after my previous orders arrive or if they ever do.,1,com.alibaba.aliexpresshd,18-03-2021
"Very reasonable shipping times to the USA. If you own a computer business as I do, AliExpress is a must.",5,com.alibaba.aliexpresshd,18-03-2021
Fun fun fun,5,com.alibaba.aliexpresshd,18-03-2021
Very good app,5,com.alibaba.aliexpresshd,18-03-2021
Is incredible...,5,com.alibaba.aliexpresshd,18-03-2021
Very good,3,com.alibaba.aliexpresshd,18-03-2021
Great honest app..,4,com.alibaba.aliexpresshd,18-03-2021
"App itself is good, easy to use and with loads of inexpensive items to buy, but gets 2 stars. The app is just one part of it. The other part is the service and delivery of things you have bought. Unfortunately this side of AliExpress is very poor. 2 months of waiting for purchases to arrive so far... if you want an item quick forget this and go to a local shop. You do have different freight options but these are pricey and so nullify any savings you may make.",2,com.alibaba.aliexpresshd,18-03-2021
I can't live without Ali Express ido alot of shopping 🛒,5,com.alibaba.aliexpresshd,18-03-2021
👍,5,com.alibaba.aliexpresshd,18-03-2021
Would have given 5 stars if Cash on delivery option was available..,1,com.alibaba.aliexpresshd,18-03-2021
Nice app,5,com.alibaba.aliexpresshd,18-03-2021
Produtos variados e com ótimo preço. Mas o tempo de espera para chegar o produto na sua casa... Vish!,4,com.alibaba.aliexpresshd,18-03-2021
